case_id,setting,method,tol_mm,n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_err_mm,median_err_mm,max_err_mm,loc_score,runtime_s
subject021,sd:3+r5,M1 frangi,6.0,3,4,2,2,1,0.5,0.6667,0.5714,3.182,3.182,4.242,0.4697,0.58
subject021,sd:3+r5,M1 frangi,8.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.4554,0.58
subject021,sd:3+r5,M1 frangi,10.0,3,4,3,1,0,0.75,1.0,0.8571,4.357,4.242,6.708,0.5643,0.58
subject021,sd:3+r5,M2 band_connect,3.0,3,2,2,0,1,1.0,0.6667,0.8,1.81,1.81,2.121,0.3966,0.11
subject021,sd:3+r5,M2 band_connect,5.0,3,2,2,0,1,1.0,0.6667,0.8,1.81,1.81,2.121,0.638,0.11
subject021,sd:3+r5,M2 band_connect,6.0,3,2,2,0,1,1.0,0.6667,0.8,1.81,1.81,2.121,0.6983,0.11
subject021,sd:3+r5,M2 band_connect,8.0,3,2,2,0,1,1.0,0.6667,0.8,1.81,1.81,2.121,0.7737,0.11
subject021,sd:3+r5,M2 band_connect,10.0,3,2,2,0,1,1.0,0.6667,0.8,1.81,1.81,2.121,0.819,0.11
subject021,sd:3+r5,M3 expansion,3.0,3,4,3,1,0,0.75,1.0,0.8571,1.707,1.5,2.121,0.431,0.11
subject021,sd:3+r5,M3 expansion,5.0,3,4,3,1,0,0.75,1.0,0.8571,1.707,1.5,2.121,0.6586,0.11
subject021,sd:3+r5,M3 expansion,6.0,3,4,3,1,0,0.75,1.0,0.8571,1.707,1.5,2.121,0.7155,0.11
subject021,sd:3+r5,M3 expansion,8.0,3,4,3,1,0,0.75,1.0,0.8571,1.707,1.5,2.121,0.7866,0.11
subject021,sd:3+r5,M3 expansion,10.0,3,4,3,1,0,0.75,1.0,0.8571,1.707,1.5,2.121,0.8293,0.11
