case_id,setting,method,tol_mm,n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_err_mm,median_err_mm,max_err_mm,loc_score,runtime_s
subject023,sd:3+f250+r5,M3 expansion,8.0,3,2,1,1,2,0.5,0.3333,0.4,2.598,2.598,2.598,0.6753,0.05
subject023,sd:3+f250+r5,M3 expansion,10.0,3,2,1,1,2,0.5,0.3333,0.4,2.598,2.598,2.598,0.7402,0.05
subject023,sd:3+f280,M3 expansion,3.0,3,4,1,3,2,0.25,0.3333,0.2857,1.5,1.5,1.5,0.4999,0.05
subject023,sd:3+f280,M3 expansion,5.0,3,4,1,3,2,0.25,0.3333,0.2857,1.5,1.5,1.5,0.6999,0.05
subject023,sd:3+f280,M3 expansion,6.0,3,4,1,3,2,0.25,0.3333,0.2857,1.5,1.5,1.5,0.7499,0.05
subject023,sd:3+f280,M3 expansion,8.0,3,4,2,2,1,0.5,0.6667,0.5714,3.75,3.75,6.0,0.5312,0.05
subject023,sd:3+f280,M3 expansion,10.0,3,4,2,2,1,0.5,0.6667,0.5714,3.75,3.75,6.0,0.625,0.05
subject023,sd:3+f280+r5,M3 expansion,3.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject023,sd:3+f280+r5,M3 expansion,5.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject023,sd:3+f280+r5,M3 expansion,6.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject023,sd:3+f280+r5,M3 expansion,8.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
subject023,sd:3+f280+r5,M3 expansion,10.0,3,0,0,0,3,0.0,0.0,0.0,,,,0.0,0.05
